[21, 127, 72, 87, 32, 56, 32, 5, 39, 4]
[160, 140, 17, 98, 16, 32, 49, 9, 34, 0]
[44, 112, 25, 43, 29, 80, 69, 71, 0, 94]
[69, 36, 26, 178, 7, 97, 19, 94, 11, 17]
[55, 23, 71, 3, 57, 11, 38, 2, 44, 163]
[52, 18, 11, 20, 2, 7, 56, 23, 115, 145]
[39, 71, 38, 50, 1, 22, 101, 13, 56, 193]
[14, 6, 30, 31, 44, 44, 122, 70, 70, 13]
[176, 1, 2, 79, 17, 19, 166, 7, 54, 32]
[7, 101, 51, 61, 9, 113, 10, 15, 0, 44]
[6, 19, 216, 14, 106, 59, 12, 4, 14, 34]
[31, 36, 55, 38, 56, 96, 7, 89, 47, 18]
[30, 1, 5, 83, 37, 199, 12, 65, 86, 11]
[83, 5, 54, 19, 6, 63, 4, 86, 128, 113]
[89, 16, 2, 236, 15, 3, 195, 5, 35, 1]
[7, 191, 25, 0, 80, 31, 8, 59, 12, 30]
[19, 0, 90, 7, 163, 5, 92, 55, 15, 20]
[13, 87, 89, 0, 22, 80, 2, 76, 109, 24]
[77, 24, 208, 92, 3, 21, 10, 24, 49, 77]
[151, 11, 27, 68, 32, 3, 71, 68, 12, 97]
[60, 49, 5, 128, 12, 4, 41, 1, 43, 205]
[46, 73, 13, 55, 30, 34, 4, 44, 55, 124]
[109, 105, 9, 26, 38, 19, 46, 162, 0, 11]
[182, 46, 110, 21, 13, 19, 88, 21, 2, 3]
[67, 143, 3, 3, 25, 4, 71, 12, 63, 27]
[48, 8, 5, 21, 126, 20, 207, 25, 49, 50]
[5, 19, 31, 210, 43, 6, 44, 14, 6, 62]
[2, 13, 88, 18, 51, 83, 4, 159, 85, 18]
[42, 39, 4, 6, 96, 72, 153, 27, 77, 72]
[34, 224, 72, 20, 25, 59, 18, 57, 23, 30]
[21, 2, 20, 28, 25, 14, 23, 94, 48, 173]
[132, 42, 14, 19, 42, 29, 39, 14, 27, 61]
[21, 90, 47, 108, 20, 0, 71, 2, 176, 2]
[75, 50, 82, 96, 4, 2, 59, 1, 34, 71]
[109, 8, 171, 2, 30, 0, 17, 31, 213, 9]
[16, 4, 25, 200, 23, 20, 39, 4, 111, 17]
[23, 71, 3, 24, 54, 48, 87, 50, 8, 41]
[4, 1, 19, 110, 15, 64, 133, 5, 87, 7]
[15, 28, 28, 8, 178, 50, 33, 49, 75, 68]
[0, 186, 119, 91, 29, 24, 35, 5, 0, 0]
[20, 24, 89, 4, 14, 15, 151, 86, 35, 27]
[51, 5, 18, 40, 113, 172, 20, 34, 17, 17]
[29, 0, 16, 26, 12, 40, 322, 34, 20, 76]
[6, 92, 2, 7, 107, 33, 122, 97, 12, 120]
[160, 96, 46, 13, 11, 18, 1, 0, 15, 50]
[29, 121, 21, 78, 62, 53, 3, 11, 66, 31]
[13, 29, 41, 14, 58, 9, 209, 85, 44, 83]
[69, 30, 55, 5, 81, 17, 49, 27, 27, 80]
[35, 175, 20, 49, 30, 12, 84, 24, 2, 98]
[0, 16, 84, 64, 12, 16, 6, 11, 51, 217]
[8, 49, 78, 54, 99, 81, 122, 1, 1, 42]
[53, 66, 10, 86, 50, 69, 9, 1, 5, 106]
[13, 27, 271, 2, 0, 2, 122, 60, 27, 29]
[72, 36, 87, 105, 106, 25, 7, 87, 17, 25]
[33, 70, 70, 170, 68, 10, 54, 67, 11, 33]
[10, 7, 125, 52, 54, 27, 80, 19, 9, 34]
[49, 37, 117, 31, 123, 14, 14, 15, 19, 16]
[27, 178, 69, 1, 17, 9, 56, 72, 17, 74]
[60, 121, 76, 2, 90, 17, 77, 50, 67, 26]
[39, 11, 78, 101, 18, 36, 7, 51, 38, 25]
[80, 91, 69, 25, 122, 64, 9, 41, 30, 44]
[68, 14, 2, 39, 59, 303, 4, 15, 16, 41]
[94, 16, 7, 96, 66, 59, 104, 46, 5, 29]
[115, 19, 23, 42, 181, 4, 18, 53, 3, 3]
[131, 38, 16, 5, 21, 45, 66, 20, 63, 65]
[10, 159, 10, 66, 29, 17, 2, 0, 156, 10]
[101, 45, 20, 44, 17, 13, 59, 21, 85, 41]
[7, 60, 40, 214, 71, 13, 16, 86, 28, 9]
[23, 31, 154, 103, 24, 45, 14, 12, 11, 90]
[37, 67, 28, 23, 15, 61, 10, 33, 133, 10]
[13, 14, 29, 87, 20, 200, 4, 0, 65, 35]
[93, 57, 15, 15, 55, 31, 21, 207, 4, 11]
[45, 241, 34, 2, 22, 1, 21, 3, 65, 19]
[40, 261, 8, 104, 1, 92, 3, 8, 45, 6]
[0, 39, 39, 67, 86, 100, 21, 43, 16, 33]
[58, 8, 164, 63, 59, 68, 12, 19, 49, 20]
[20, 67, 2, 26, 2, 108, 3, 69, 134, 47]
[66, 74, 86, 6, 70, 13, 48, 53, 8, 1]
[86, 50, 76, 6, 26, 11, 21, 129, 49, 8]
[48, 47, 16, 7, 31, 9, 32, 124, 3, 107]
[38, 16, 21, 90, 31, 21, 9, 91, 3, 118]
[1, 20, 68, 18, 125, 23, 130, 39, 11, 2]
[78, 67, 36, 35, 4, 146, 20, 84, 8, 48]
[36, 83, 38, 39, 81, 62, 90, 5, 44, 5]
[1, 0, 28, 1, 172, 11, 42, 19, 13, 227]
[54, 0, 50, 20, 91, 48, 72, 13, 51, 16]
[28, 0, 25, 53, 44, 4, 22, 24, 111, 138]
[37, 0, 36, 35, 140, 1, 77, 120, 36, 27]
[26, 0, 29, 20, 3, 28, 94, 24, 84, 148]
[36, 0, 27, 95, 137, 9, 39, 19, 67, 52]
[27, 0, 15, 108, 201, 74, 5, 20, 10, 89]
[47, 0, 16, 65, 48, 68, 110, 1, 55, 71]
[15, 0, 197, 76, 32, 75, 0, 18, 1, 40]
[80, 0, 221, 0, 44, 97, 0, 18, 123, 0]
[56, 0, 0, 0, 132, 152, 0, 47, 208, 0]
[101, 0, 0, 0, 0, 135, 0, 293, 70, 0]
[83, 0, 0, 0, 0, 139, 0, 83, 103, 0]
[191, 0, 0, 0, 0, 76, 0, 258, 8, 0]
[0, 0, 0, 0, 0, 287, 0, 117, 41, 0]
[0, 0, 0, 0, 0, 0, 0, 276, 373, 0]
